,subject,age_group_x,roi,triplet,comparison,within_sim,across_sim,difference,trials,triplet_accuracy,avg_RT,avg_repetitions,age,sex,scanner
39,temple022,adult,sl-AB_age_gm,4,AB,-0.4202449087893623,-0.0973131161408786,-0.3229317926484836,8,0.375,8.4673,1.0,29.05,F,skyra
40,temple022,adult,sl-AB_group_hip,1,AB,0.3712884193722991,0.1225429437112619,0.2487454756610371,8,0.875,8.5567125,1.0,29.05,F,skyra
41,temple022,adult,sl-AB_group_hip,2,AB,0.0340570449988721,-0.0023549348610224,0.0364119798598945,8,0.5,8.4072875,1.25,29.05,F,skyra
42,temple022,adult,sl-AB_group_hip,3,AB,0.1548232873623069,0.1317148241286871,0.0231084632336198,8,0.625,8.2749125,1.0,29.05,F,skyra
43,temple022,adult,sl-AB_group_hip,4,AB,-0.0979968957300737,-0.1555844697036285,0.0575875739735548,8,0.375,8.4673,1.0,29.05,F,skyra
44,temple022,adult,sl-AC_age_hip,1,AC,-0.0415131014446577,-0.1803457446166799,0.1388326431720221,8,0.875,8.5567125,1.0,29.05,F,skyra
45,temple022,adult,sl-AC_age_hip,2,AC,0.3594530026569629,0.1577264463559766,0.2017265563009862,8,0.5,8.4072875,1.25,29.05,F,skyra
46,temple022,adult,sl-AC_age_hip,3,AC,-0.0756042710415394,-0.2597934256715078,0.1841891546299684,8,0.625,8.2749125,1.0,29.05,F,skyra
47,temple022,adult,sl-AC_age_hip,4,AC,-0.2126998791558446,-0.1903883940236199,-0.0223114851322247,8,0.375,8.4673,1.0,29.05,F,skyra
48,temple023,adult,sl-AB_age_gm,1,AB,0.3662187319569818,0.1295750375851941,0.2366436943717876,8,0.75,10.68025,1.0,25.33,F,skyra
49,temple023,adult,sl-AB_age_gm,2,AB,0.3839104368264168,0.1324045501917506,0.2515058866346662,8,0.375,9.71675,1.0,25.33,F,skyra
50,temple023,adult,sl-AB_age_gm,3,AB,0.2420283621703041,0.17593705192959,0.066091310240714,8,0.75,9.0873125,1.0,25.33,F,skyra
51,temple023,adult,sl-AB_age_gm,4,AB,0.3834158347063927,0.1803437445880959,0.2030720901182968,8,0.375,9.343125,1.125,25.33,F,skyra
52,temple023,adult,sl-AB_group_hip,1,AB,0.2237524864882923,-0.3291233070783239,0.5528757935666162,8,0.75,10.68025,1.0,25.33,F,skyra
53,temple023,adult,sl-AB_group_hip,2,AB,0.2511219176560882,-0.1597059918253543,0.4108279094814426,8,0.375,9.71675,1.0,25.33,F,skyra
54,temple023,adult,sl-AB_group_hip,3,AB,0.2296296379412217,-0.2615538845945762,0.4911835225357979,8,0.75,9.0873125,1.0,25.33,F,skyra
55,temple023,adult,sl-AB_group_hip,4,AB,-0.3398195933153273,-0.2486810972768829,-0.0911384960384443,8,0.375,9.343125,1.125,25.33,F,skyra
56,temple023,adult,sl-AC_age_hip,1,AC,0.5754868296727621,0.2827525292702054,0.2927343004025566,8,0.75,10.68025,1.0,25.33,F,skyra
57,temple023,adult,sl-AC_age_hip,2,AC,0.2201854857100444,-0.0943616303480687,0.3145471160581132,8,0.375,9.71675,1.0,25.33,F,skyra
58,temple023,adult,sl-AC_age_hip,3,AC,0.7584701326701551,0.2248593871892432,0.5336107454809118,8,0.75,9.0873125,1.0,25.33,F,skyra
59,temple023,adult,sl-AC_age_hip,4,AC,0.0950334784369807,0.0900089487824946,0.0050245296544861,8,0.375,9.343125,1.125,25.33,F,skyra
60,temple024,adult,sl-AB_age_gm,1,AB,0.1322024396963701,-0.0471356400022575,0.1793380796986277,8,0.875,9.1821625,1.0,28.29,M,skyra
61,temple024,adult,sl-AB_age_gm,2,AB,-0.1570250051285184,-0.0809830817896505,-0.0760419233388679,8,0.5,9.3869125,1.0,28.29,M,skyra
62,temple024,adult,sl-AB_age_gm,3,AB,-0.2298168872189341,-0.1612232996314264,-0.0685935875875077,8,0.375,8.7178125,1.0,28.29,M,skyra
63,temple024,adult,sl-AB_age_gm,4,AB,-0.2050946846362048,-0.0701851073679262,-0.1349095772682785,8,0.375,9.4437125,1.0,28.29,M,skyra
64,temple024,adult,sl-AB_group_hip,1,AB,0.3304458135624252,0.0960632172460579,0.2343825963163672,8,0.875,9.1821625,1.0,28.29,M,skyra
