,subject,triplet,trials,triplet_accuracy,avg_RT,avg_repetitions,age,accuracy,age_demeaned,acc_demeaned,sex,scanner,age_group
59,temple037,4,8,1.0,8.0418375,1.0,24.39,1.0,10.01,0.23194,F,skyra,adults
60,temple038,1,8,0.875,8.418875,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
61,temple038,2,8,1.0,8.235325,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
62,temple038,3,8,0.5,8.2752,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
63,temple038,4,8,0.25,8.990125,1.0,12.19,0.65625,-2.19,-0.11181,M,skyra,10-12 years
64,temple041,1,8,0.375,8.8552875,1.0,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
65,temple041,2,8,0.625,8.0912375,1.125,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
66,temple041,3,8,0.25,7.8895625,1.0,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
67,temple041,4,8,0.5,7.8272625,1.0,7.9,0.4375,-6.48,-0.33056,F,skyra,7-9 years
68,temple042,1,8,0.875,8.9982,1.0,12.19,0.9375,-2.19,0.16944,M,skyra,10-12 years
69,temple042,2,8,0.875,9.170375,1.125,12.19,0.9375,-2.19,0.16944,M,skyra,10-12 years
70,temple042,3,8,1.0,8.778925,1.0,12.19,0.9375,-2.19,0.16944,M,skyra,10-12 years
71,temple042,4,8,1.0,9.296075,1.5,12.19,0.9375,-2.19,0.16944,M,skyra,10-12 years
72,temple045,1,8,0.875,9.0174125,1.125,12.57,0.59375,-1.81,-0.17431,F,skyra,10-12 years
73,temple045,2,8,1.0,9.359925,1.0,12.57,0.59375,-1.81,-0.17431,F,skyra,10-12 years
74,temple045,3,8,0.0,9.4515625,1.25,12.57,0.59375,-1.81,-0.17431,F,skyra,10-12 years
75,temple045,4,8,0.5,8.909575,1.0,12.57,0.59375,-1.81,-0.17431,F,skyra,10-12 years
76,temple050,1,8,1.0,5.98855,1.125,34.98,1.0,20.6,0.23194,M,skyra,adults
77,temple050,2,8,1.0,7.835325,1.0,34.98,1.0,20.6,0.23194,M,skyra,adults
78,temple050,3,8,1.0,6.0540375,1.0,34.98,1.0,20.6,0.23194,M,skyra,adults
79,temple050,4,8,1.0,5.71925,1.0,34.98,1.0,20.6,0.23194,M,skyra,adults
80,temple051,1,8,1.0,7.48415,1.0,10.71,0.8125,-3.67,0.04444,F,skyra,10-12 years
81,temple051,2,8,0.875,5.076625,1.0,10.71,0.8125,-3.67,0.04444,F,skyra,10-12 years
82,temple051,3,8,0.625,6.6358,1.125,10.71,0.8125,-3.67,0.04444,F,skyra,10-12 years
83,temple051,4,8,0.75,5.4577,1.0,10.71,0.8125,-3.67,0.04444,F,skyra,10-12 years
84,temple053,1,8,1.0,7.9044,1.25,9.33,0.875,-5.05,0.10694,M,skyra,7-9 years
85,temple053,2,8,0.875,7.99225,1.125,9.33,0.875,-5.05,0.10694,M,skyra,7-9 years
86,temple053,3,8,0.75,7.9925625,1.375,9.33,0.875,-5.05,0.10694,M,skyra,7-9 years
87,temple053,4,8,0.875,7.4450125,1.125,9.33,0.875,-5.05,0.10694,M,skyra,7-9 years
88,temple056,1,8,0.625,10.3624375,1.125,18.47,0.59375,4.09,-0.17431,M,prisma,adults
89,temple056,2,8,0.625,10.392175,1.25,18.47,0.59375,4.09,-0.17431,M,prisma,adults
90,temple056,3,8,0.375,10.5494,1.25,18.47,0.59375,4.09,-0.17431,M,prisma,adults
91,temple056,4,8,0.75,10.2771125,1.625,18.47,0.59375,4.09,-0.17431,M,prisma,adults
92,temple057,1,8,0.625,9.6335375,1.125,20.61,0.625,6.23,-0.14306,F,prisma,adults
93,temple057,2,8,0.5,9.39785,1.0,20.61,0.625,6.23,-0.14306,F,prisma,adults
94,temple057,3,8,0.75,9.698475,1.0,20.61,0.625,6.23,-0.14306,F,prisma,adults
95,temple057,4,8,0.625,9.5112625,1.0,20.61,0.625,6.23,-0.14306,F,prisma,adults
96,temple058,1,8,0.75,8.1027,1.125,21.49,0.71875,7.11,-0.04931,F,prisma,adults
97,temple058,2,8,0.625,7.808475,1.125,21.49,0.71875,7.11,-0.04931,F,prisma,adults
98,temple058,3,8,0.75,8.0547125,1.25,21.49,0.71875,7.11,-0.04931,F,prisma,adults
99,temple058,4,8,0.75,8.0934625,1.125,21.49,0.71875,7.11,-0.04931,F,prisma,adults
100,temple059,1,8,1.0,9.701075,1.25,20.26,1.0,5.88,0.23194,F,prisma,adults
101,temple059,2,8,1.0,9.760275,1.0,20.26,1.0,5.88,0.23194,F,prisma,adults
102,temple059,3,8,1.0,9.6942125,1.0,20.26,1.0,5.88,0.23194,F,prisma,adults
103,temple059,4,8,1.0,9.66105,1.25,20.26,1.0,5.88,0.23194,F,prisma,adults
104,temple060,1,8,0.75,9.35005,1.375,10.07,0.59375,-4.31,-0.17431,M,prisma,10-12 years
105,temple060,2,8,0.375,9.3853875,1.5,10.07,0.59375,-4.31,-0.17431,M,prisma,10-12 years
106,temple060,3,8,0.5,9.9783,1.375,10.07,0.59375,-4.31,-0.17431,M,prisma,10-12 years
107,temple060,4,8,0.75,8.7368875,1.125,10.07,0.59375,-4.31,-0.17431,M,prisma,10-12 years
108,temple063,1,8,1.0,5.5193375,1.125,10.72,0.78125,-3.66,0.01319,F,prisma,10-12 years
109,temple063,2,8,0.625,8.1788875,1.0,10.72,0.78125,-3.66,0.01319,F,prisma,10-12 years
110,temple063,3,8,0.5,8.56995,1.0,10.72,0.78125,-3.66,0.01319,F,prisma,10-12 years
111,temple063,4,8,1.0,8.981325,1.0,10.72,0.78125,-3.66,0.01319,F,prisma,10-12 years
112,temple064,1,8,0.5,7.1746,1.375,7.36,0.46875,-7.02,-0.29931,M,prisma,7-9 years
113,temple064,2,8,0.375,8.5996875,1.0,7.36,0.46875,-7.02,-0.29931,M,prisma,7-9 years
114,temple064,3,8,0.75,8.6115,1.125,7.36,0.46875,-7.02,-0.29931,M,prisma,7-9 years
115,temple064,4,8,0.25,8.3435375,1.125,7.36,0.46875,-7.02,-0.29931,M,prisma,7-9 years
116,temple065,1,8,0.625,9.8956625,1.0,9.45,0.4375,-4.93,-0.33056,F,prisma,7-9 years
117,temple065,2,8,0.375,9.9525125,1.125,9.45,0.4375,-4.93,-0.33056,F,prisma,7-9 years
118,temple065,3,8,0.375,8.628525,1.25,9.45,0.4375,-4.93,-0.33056,F,prisma,7-9 years
