1	1	1	1
1	1	1	2
1	1	1	3
1	1	2	4
1	1	2	5
1	1	2	6
1	1	3	7
1	1	3	8
1	1	3	9
1	1	4	10
1	1	4	11
1	1	4	12
1	2	1	1
1	2	1	2
1	2	1	3
1	2	2	4
1	2	2	5
1	2	2	6
1	2	3	7
1	2	3	8
1	2	3	9
1	2	4	10
1	2	4	11
1	2	4	12
1	3	1	1
1	3	1	2
1	3	1	3
1	3	2	4
1	3	2	5
1	3	2	6
1	3	3	7
1	3	3	8
1	3	3	9
1	3	4	10
1	3	4	11
1	3	4	12
2	1	1	1
2	1	1	2
2	1	1	3
2	1	2	4
2	1	2	5
2	1	2	6
2	1	3	7
2	1	3	8
2	1	3	9
2	1	4	10
2	1	4	11
2	1	4	12
2	2	1	1
2	2	1	2
2	2	1	3
2	2	2	4
2	2	2	5
2	2	2	6
2	2	3	7
2	2	3	8
2	2	3	9
2	2	4	10
2	2	4	11
2	2	4	12
2	3	1	1
2	3	1	2
2	3	1	3
2	3	2	4
2	3	2	5
2	3	2	6
2	3	3	7
2	3	3	8
2	3	3	9
2	3	4	10
2	3	4	11
2	3	4	12
